dynamicColors	mergedColors
CRHR2	grey	grey
CRIM1	turquoise	pink
CRIP2	grey	grey
CRIP3	grey	grey
CRIPT	blue	blue
CRISP2	black	black
CRISP3	grey	grey
CRISPLD1	grey	grey
CRISPLD2	green	green
CRK	turquoise	pink
CRKL	turquoise	pink
CRLF1	grey	grey
CRLF2	grey	grey
CRLF3	grey	grey
CRLS1	grey	grey
CRMP1	turquoise	pink
CRNKL1	turquoise	pink
CROCC	brown	brown
CROT	grey	grey
CRP	grey	grey
CRTAC1	red	red
CRTAM	magenta	magenta
CRTAP	grey	grey
CRTC1	turquoise	pink
CRTC2	turquoise	pink
CRTC3	turquoise	pink
CRY1	blue	blue
CRY2	blue	blue
CRYAB	grey	grey
CRYBA1	grey	grey
CRYBA2	grey	grey
CRYBA4	grey	grey
CRYBB2	grey	grey
CRYBB3	brown	brown
CRYGN	grey	grey
CRYGS	brown	brown
CRYL1	grey	grey
CRYM	blue	blue
CRYZ	grey	grey
CRYZL1	turquoise	pink
CSAD	brown	brown
CSDC2	green	green
CSDE1	turquoise	pink
CSE1L	blue	blue
CSF1	yellow	magenta
CSF1R	yellow	magenta
CSF2	grey	grey
CSF2RA	yellow	magenta
CSF2RB	yellow	magenta
CSF3	grey	grey
CSF3R	grey	grey
CSGALNACT1	grey	grey
CSGALNACT2	green	green
CSK	grey	grey
CSMD1	grey	grey
CSMD2	green	green
CSMD3	grey	grey
CSNK1A1	turquoise	pink
CSNK1D	turquoise	pink
CSNK1E	brown	brown
CSNK1G1	turquoise	pink
CSNK1G2	turquoise	pink
CSNK1G3	turquoise	pink
CSNK2A1	turquoise	pink
CSNK2A2	turquoise	pink
CSPG4	green	green
CSPG5	grey	grey
CSPP1	turquoise	pink
CSRNP1	red	red
CSRNP2	turquoise	pink
CSRNP3	grey	grey
CSRP1	grey	grey
CSRP2	blue	blue
CST1	grey	grey
CST3	blue	blue
CST5	blue	blue
CST6	grey	grey
CST7	magenta	magenta
CSTA	grey	grey
CSTB	grey	grey
CSTF1	blue	blue
CSTF2	blue	blue
CSTF2T	turquoise	pink
CSTF3	blue	blue
CSTL1	grey	grey
CT55	grey	grey
CT62	grey	grey
CT83	grey	grey
CTAGE1	grey	grey
CTBP1	turquoise	pink
CTBP2	turquoise	pink
CTC1	turquoise	pink
CTCF	turquoise	pink
CTCFL	grey	grey
CTDP1	turquoise	pink
CTDSP1	turquoise	pink
CTDSP2	turquoise	pink
CTDSPL	turquoise	pink
CTDSPL2	pink	pink
CTF1	grey	grey
CTH	grey	grey
CTHRC1	green	green
CTIF	turquoise	pink
CTLA4	magenta	magenta
CTNNA1	turquoise	pink
CTNNA2	grey	grey
CTNNA3	grey	grey
CTNNAL1	blue	blue
CTNNB1	turquoise	pink
CTNND1	turquoise	pink
CTNND2	grey	grey
CTNS	turquoise	pink
CTPS1	blue	blue
CTPS2	turquoise	pink
CTR9	turquoise	pink
CTRC	grey	grey
CTSB	yellow	magenta
CTSC	yellow	magenta
CTSD	grey	grey
CTSE	grey	grey
CTSF	grey	grey
CTSG	red	red
CTSH	blue	blue
CTSK	green	green
CTSL	grey	grey
CTSO	yellow	magenta
CTSS	yellow	magenta
CTSV	blue	blue
CTSW	magenta	magenta
CTSZ	yellow	magenta
CTTN	turquoise	pink
CTTNBP2	grey	grey
CTTNBP2NL	turquoise	pink
CTU2	grey	grey
CTXN1	grey	grey
CUEDC1	turquoise	pink
CUEDC2	grey	grey
CUL1	pink	pink
CUL2	blue	blue
CUL3	turquoise	pink
CUL4A	turquoise	pink
CUL4B	pink	pink
CUL5	turquoise	pink
CUL7	turquoise	pink
CUL9	brown	brown
CUTA	grey	grey
CUTC	grey	grey
CUX1	turquoise	pink
CUX2	grey	grey
CWC15	grey	grey
CWC22	turquoise	pink
CWC25	turquoise	pink
CWC27	turquoise	pink
CWF19L1	blue	blue
CWF19L2	turquoise	pink
CWH43	black	black
CX3CL1	grey	grey
CX3CR1	yellow	magenta
CXADR	grey	grey
CXCL1	grey	grey
CXCL10	magenta	magenta
CXCL11	magenta	magenta
CXCL12	green	green
CXCL13	magenta	magenta
CXCL14	grey	grey
CXCL16	grey	grey
CXCL17	blue	blue
CXCL3	grey	grey
CXCL5	grey	grey
CXCL6	black	black
CXCL8	grey	grey
CXCL9	magenta	magenta
CXCR1	grey	grey
CXCR3	magenta	magenta
CXCR4	yellow	magenta
CXCR6	magenta	magenta
CXXC1	brown	brown
CXXC4	grey	grey
CXXC5	grey	grey
CXorf21	yellow	magenta
CXorf38	turquoise	pink
CXorf56	pink	pink
CXorf58	black	black
CYB561	turquoise	pink
CYB561D1	turquoise	pink
CYB561D2	grey	grey
CYB5A	blue	blue
CYB5B	grey	grey
CYB5D2	grey	grey
CYB5R1	grey	grey
CYB5R2	grey	grey
CYB5R3	red	red
CYB5R4	grey	grey
CYB5RL	turquoise	pink
CYBA	grey	grey
CYBB	yellow	magenta
CYBRD1	red	red
CYC1	blue	blue
CYCS	blue	blue
CYFIP1	turquoise	pink
CYFIP2	grey	grey
CYGB	red	red
CYHR1	brown	brown
CYLD	yellow	magenta
CYP11A1	grey	grey
CYP17A1	grey	grey
CYP19A1	grey	grey
CYP1A1	grey	grey
CYP1A2	grey	grey
CYP1B1	grey	grey
CYP20A1	turquoise	pink
CYP24A1	grey	grey
CYP26B1	grey	grey
CYP27A1	yellow	magenta
CYP27B1	grey	grey
CYP27C1	grey	grey
CYP2A13	black	black
CYP2B6	grey	grey
CYP2C18	grey	grey
CYP2C8	grey	grey
CYP2C9	grey	grey
CYP2E1	grey	grey
CYP2J2	grey	grey
CYP2R1	grey	grey
CYP2S1	grey	grey
CYP2U1	yellow	magenta
CYP2W1	grey	grey
CYP39A1	grey	grey
CYP3A43	grey	grey
CYP3A5	grey	grey
CYP3A7	grey	grey
CYP46A1	grey	grey
CYP4B1	red	red
CYP4F11	grey	grey
CYP4F12	grey	grey
CYP4F22	grey	grey
CYP4F3	grey	grey
CYP4V2	grey	grey
CYP4X1	black	black
CYP7A1	grey	grey
CYP7B1	grey	grey
CYP8B1	grey	grey
CYS1	grey	grey
CYSLTR1	yellow	magenta
CYSLTR2	yellow	magenta
CYSRT1	grey	grey
CYSTM1	grey	grey
CYTH1	turquoise	pink
CYTH2	brown	brown
CYTH3	grey	grey
CYTH4	yellow	magenta
CYTIP	yellow	magenta
CYTL1	grey	grey
CYYR1	red	red
D2HGDH	brown	brown
DAAM1	turquoise	pink
DAB1	grey	grey
DAB2	yellow	magenta
DAB2IP	turquoise	pink
DACH1	red	red
DACH2	grey	grey
DACT1	green	green
DACT2	grey	grey
DACT3	green	green
DAD1	blue	blue
DAG1	turquoise	pink
DAGLB	brown	brown
DAND5	grey	grey
DAO	grey	grey
DAP	grey	grey
DAPK1	grey	grey
DAPK2	blue	blue
DAPK3	turquoise	pink
DAPL1	grey	grey
DAPP1	yellow	magenta
DARS2	blue	blue
DAW1	black	black
DAXX	turquoise	pink
DAZAP1	turquoise	pink
DAZAP2	turquoise	pink
DAZL	grey	grey
DBF4B	blue	blue
DBH	magenta	magenta
DBI	grey	grey
DBN1	blue	blue
DBNDD1	grey	grey
DBNL	turquoise	pink
DBP	grey	grey
DBR1	pink	pink
DBT	turquoise	pink
DCAF10	turquoise	pink
DCAF11	turquoise	pink
DCAF12	grey	grey
DCAF12L2	grey	grey
DCAF13	blue	blue
DCAF15	brown	brown
DCAF16	turquoise	pink
DCAF17	blue	blue
DCAF4	turquoise	pink
DCAF4L1	grey	grey
DCAF5	turquoise	pink
DCAF6	turquoise	pink
DCAF7	turquoise	pink
DCAF8	brown	brown
DCAKD	turquoise	pink
DCBLD1	grey	grey
DCBLD2	grey	grey
DCC	grey	grey
DCDC1	black	black
DCDC2	grey	grey
DCHS2	grey	grey
DCK	blue	blue
DCLK1	grey	grey
DCLK2	green	green
DCLK3	green	green
DCLRE1A	blue	blue
DCLRE1B	blue	blue
DCLRE1C	blue	blue
DCN	green	green
DCP1A	turquoise	pink
DCP1B	turquoise	pink
DCP2	turquoise	pink
DCPS	turquoise	pink
DCST2	brown	brown
DCSTAMP	yellow	magenta
DCT	grey	grey
DCTD	turquoise	pink
DCTN2	grey	grey
DCTN3	grey	grey
DCTN4	turquoise	pink
DCTN5	grey	grey
DCTPP1	blue	blue
DCUN1D1	pink	pink
DCUN1D2	brown	brown
DCUN1D3	turquoise	pink
DCUN1D4	grey	grey
DCUN1D5	blue	blue
DCXR	grey	grey
DDAH1	turquoise	pink
DDAH2	grey	grey
DDB1	turquoise	pink
DDB2	grey	grey
DDC	grey	grey
DDHD1	turquoise	pink
DDHD2	turquoise	pink
DDI2	turquoise	pink
DDIAS	blue	blue
DDIT4L	grey	grey
DDO	yellow	magenta
DDOST	grey	grey
DDR1	turquoise	pink
DDR2	green	green
DDRGK1	grey	grey
DDX1	blue	blue
DDX10	blue	blue
DDX11	blue	blue
DDX17	brown	brown
DDX18	blue	blue
DDX19A	turquoise	pink
DDX19B	turquoise	pink
DDX20	pink	pink
DDX21	blue	blue
DDX23	turquoise	pink
DDX24	turquoise	pink
DDX25	grey	grey
DDX27	turquoise	pink
DDX28	grey	grey
DDX31	turquoise	pink
DDX39A	blue	blue
DDX39B	brown	brown
DDX3X	turquoise	pink
DDX3Y	grey	grey
DDX4	grey	grey
DDX41	turquoise	pink
DDX42	turquoise	pink
DDX43	grey	grey
DDX46	turquoise	pink
DDX49	grey	grey
DDX5	brown	brown
DDX51	turquoise	pink
DDX52	turquoise	pink
DDX54	turquoise	pink
DDX56	blue	blue
DDX58	grey	grey
DDX59	turquoise	pink
DDX6	turquoise	pink
DDX60	grey	grey
DDX60L	grey	grey
DEAF1	turquoise	pink
DEC1	grey	grey
DECR1	grey	grey
DECR2	brown	brown
DEDD	turquoise	pink
DEDD2	grey	grey
DEF6	magenta	magenta
DEF8	brown	brown
DEFB1	grey	grey
DEFB124	black	black
DEGS1	grey	grey
DEGS2	grey	grey
DEK	blue	blue
DENND1A	blue	blue
DENND1B	turquoise	pink
DENND1C	grey	grey
DENND2A	red	red
DENND2C	grey	grey
DENND2D	grey	grey
DENND3	grey	grey
DENND4A	turquoise	pink
DENND4B	turquoise	pink
DENND4C	turquoise	pink
DENND5A	turquoise	pink
DENND5B	turquoise	pink
DENND6A	turquoise	pink
DENND6B	black	black
DENR	blue	blue
DEPDC1	blue	blue
DEPDC1B	blue	blue
DEPDC4	blue	blue
DEPDC5	turquoise	pink
DEPDC7	grey	grey
DEPTOR	grey	grey
DERA	blue	blue
DERL1	blue	blue
DERL2	grey	grey
DES	red	red
DESI1	grey	grey
DESI2	turquoise	pink
DET1	brown	brown
DEXI	grey	grey
DFFA	pink	pink
DFFB	brown	brown
DGAT1	grey	grey
DGAT2	grey	grey
DGCR2	turquoise	pink
DGCR8	turquoise	pink
DGKA	grey	grey
DGKB	grey	grey
DGKD	turquoise	pink
DGKE	grey	grey
DGKG	grey	grey
DGKH	turquoise	pink
DGKI	grey	grey
DGKK	grey	grey
DGKQ	brown	brown
DGKZ	turquoise	pink
DGUOK	blue	blue
DHCR24	grey	grey
DHCR7	blue	blue
DHDDS	turquoise	pink
DHDH	grey	grey
DHFR	blue	blue
DHH	red	red
DHODH	brown	brown
DHRS1	brown	brown
DHRS11	turquoise	pink
DHRS12	grey	grey
DHRS2	grey	grey
DHRS3	grey	grey
DHRS7	grey	grey
DHRS7B	grey	grey
DHRS9	grey	grey
DHRSX	grey	grey
DHTKD1	turquoise	pink
DHX15	turquoise	pink
DHX16	turquoise	pink
DHX29	turquoise	pink
DHX30	turquoise	pink
DHX33	turquoise	pink
DHX34	turquoise	pink
DHX35	turquoise	pink
DHX36	pink	pink
DHX37	turquoise	pink
DHX40	turquoise	pink
DHX57	turquoise	pink
DHX58	grey	grey
DHX8	turquoise	pink
DHX9	turquoise	pink
DIAPH1	turquoise	pink
DIAPH2	grey	grey
DIAPH3	blue	blue
DICER1	turquoise	pink
DIDO1	turquoise	pink
DIMT1	turquoise	pink
DIO1	grey	grey
DIO2	green	green
DIO3	grey	grey
DIP2A	brown	brown
DIP2B	turquoise	pink
DIP2C	turquoise	pink
DIRAS1	grey	grey
DIRAS2	grey	grey
DIRAS3	grey	grey
DIRC1	grey	grey
DIS3	blue	blue
DIS3L	turquoise	pink
DIS3L2	turquoise	pink
DISC1	turquoise	pink
DISP1	grey	grey
DISP2	grey	grey
DIXDC1	turquoise	pink
DKC1	blue	blue
DKK1	grey	grey
DKK2	red	red
DKK3	green	green
DKK4	grey	grey
DKKL1	grey	grey
DLAT	turquoise	pink
DLC1	red	red
DLD	blue	blue
DLEU1	grey	grey
DLG1	pink	pink
DLG2	green	green
DLG3	turquoise	pink
DLG4	grey	grey
DLG5	turquoise	pink
DLGAP1	grey	grey
DLGAP2	grey	grey
DLGAP3	grey	grey
DLGAP4	turquoise	pink
DLK1	grey	grey
DLK2	grey	grey
DLL1	grey	grey
DLL3	grey	grey
DLL4	red	red
DLST	turquoise	pink
DLX1	grey	grey
DLX2	grey	grey
DLX3	grey	grey
DLX4	grey	grey
DLX5	grey	grey
DLX6	grey	grey
DMAP1	brown	brown
DMBT1	red	red
DMBX1	grey	grey
DMC1	blue	blue
DMD	turquoise	pink
DMGDH	grey	grey
DMKN	grey	grey
DMP1	grey	grey
DMPK	brown	brown
DMRT1	grey	grey
DMRT2	grey	grey
DMRT3	grey	grey
DMRTA1	grey	grey
DMRTA2	grey	grey
DMTN	grey	grey
DMWD	turquoise	pink
DMXL1	turquoise	pink
DMXL2	turquoise	pink
DNA2	blue	blue
DNAAF1	black	black
DNAAF2	blue	blue
DNAAF5	blue	blue
DNAH1	brown	brown
DNAH10	black	black
DNAH11	black	black
DNAH12	black	black
DNAH14	blue	blue
DNAH17	grey	grey
DNAH2	black	black
DNAH3	black	black
DNAH5	black	black
DNAH6	black	black
DNAH7	black	black
DNAH8	grey	grey
DNAH9	black	black
DNAI1	black	black
DNAI2	black	black
DNAJA1	pink	pink
DNAJA2	turquoise	pink
DNAJA3	turquoise	pink
DNAJA4	black	black
DNAJB1	grey	grey
DNAJB12	turquoise	pink
DNAJB14	turquoise	pink
DNAJB2	brown	brown
DNAJB4	grey	grey
DNAJB5	grey	grey
DNAJB6	grey	grey
DNAJB7	brown	brown
DNAJB9	grey	grey
DNAJC1	grey	grey
DNAJC10	blue	blue
DNAJC12	grey	grey
DNAJC13	pink	pink
DNAJC15	grey	grey
DNAJC16	turquoise	pink
DNAJC18	turquoise	pink
DNAJC19	pink	pink
DNAJC2	blue	blue
DNAJC21	turquoise	pink
DNAJC22	grey	grey
DNAJC24	blue	blue
DNAJC25	grey	grey
DNAJC27	brown	brown
DNAJC28	grey	grey
DNAJC3	turquoise	pink
DNAJC30	grey	grey
DNAJC4	grey	grey
DNAJC5	turquoise	pink
DNAJC5B	yellow	magenta
DNAJC5G	grey	grey
DNAJC6	blue	blue
DNAJC7	turquoise	pink
DNAJC8	grey	grey
DNAL1	black	black
DNAL4	grey	grey
DNALI1	black	black
DNASE1	brown	brown
DNASE1L2	grey	grey
DNASE1L3	red	red
DNASE2	grey	grey
DNASE2B	yellow	magenta
DNER	grey	grey
DNHD1	brown	brown
DNM1	grey	grey
DNM1L	blue	blue
DNM2	turquoise	pink
DNM3	grey	grey
DNMBP	turquoise	pink
DNMT1	turquoise	pink
DNMT3A	turquoise	pink
DNMT3B	blue	blue
DNPEP	grey	grey
DNPH1	grey	grey
DNTTIP1	grey	grey
DNTTIP2	blue	blue
DOC2A	brown	brown
DOC2B	grey	grey
DOCK1	turquoise	pink
DOCK10	yellow	magenta
DOCK2	yellow	magenta
DOCK3	grey	grey
DOCK4	yellow	magenta
DOCK5	turquoise	pink
DOCK6	turquoise	pink
DOCK7	turquoise	pink
DOCK8	yellow	magenta
DOCK9	turquoise	pink
DOHH	turquoise	pink
DOK1	grey	grey
DOK2	yellow	magenta
DOK3	yellow	magenta
DOK4	blue	blue
DOK5	grey	grey
DOK6	grey	grey
DOK7	grey	grey
DOLK	turquoise	pink
DOLPP1	turquoise	pink
DOT1L	turquoise	pink
DPAGT1	turquoise	pink
DPCD	grey	grey
DPEP1	grey	grey
DPEP2	yellow	magenta
DPEP3	grey	grey
DPF1	grey	grey
DPF2	turquoise	pink
DPF3	grey	grey
DPH2	blue	blue
DPH3	grey	grey
DPH5	grey	grey
DPH6	blue	blue
DPH7	turquoise	pink
DPM1	blue	blue
DPM2	turquoise	pink
DPM3	grey	grey
DPP10	grey	grey
DPP4	grey	grey
DPP6	grey	grey
DPP7	grey	grey
DPP8	turquoise	pink
DPP9	turquoise	pink
DPPA4	grey	grey
DPY19L1	turquoise	pink
DPY19L2	grey	grey
DPY19L3	blue	blue
DPY19L4	pink	pink
DPYD	yellow	magenta
DPYS	grey	grey
DPYSL2	red	red
DPYSL3	green	green
DPYSL4	grey	grey
DPYSL5	grey	grey
DQX1	grey	grey
DR1	pink	pink
DRAM1	grey	grey
DRAM2	grey	grey
DRAXIN	grey	grey
DRC1	black	black
DRC7	black	black
DRD1	grey	grey
DRD2	grey	grey
DRD4	grey	grey
DRG2	turquoise	pink
DRICH1	brown	brown
DROSHA	turquoise	pink
DRP2	grey	grey
DSC1	grey	grey
DSC2	blue	blue
DSC3	grey	grey
DSCAM	grey	grey
DSCAML1	grey	grey
DSCC1	blue	blue
DSE	yellow	magenta
DSEL	grey	grey
DSG1	grey	grey
DSG2	blue	blue
DSG3	grey	grey
DSG4	grey	grey
DSN1	blue	blue
DSP	blue	blue
DST	turquoise	pink
DSTN	grey	grey
DSTYK	turquoise	pink
DTD1	grey	grey
DTHD1	black	black
DTL	blue	blue
DTNA	grey	grey
DTNB	turquoise	pink
DTNBP1	turquoise	pink
DTWD1	turquoise	pink
DTWD2	turquoise	pink
DTX1	grey	grey
DTX2	grey	grey
DTX3	brown	brown
DTX3L	pink	pink
DTX4	turquoise	pink
DTYMK	blue	blue
DUOX1	red	red
DUOX2	grey	grey
DUOXA1	red	red
DUS1L	brown	brown
DUS2	turquoise	pink
DUS3L	blue	blue
DUS4L	blue	blue
DUSP1	red	red
DUSP10	grey	grey
DUSP11	blue	blue
DUSP12	turquoise	pink
DUSP13	grey	grey
DUSP14	blue	blue
DUSP15	grey	grey
DUSP16	turquoise	pink
DUSP18	black	black
DUSP19	black	black
DUSP2	magenta	magenta
DUSP22	grey	grey
DUSP23	grey	grey
DUSP26	grey	grey
DUSP27	grey	grey
DUSP3	turquoise	pink
DUSP4	grey	grey
DUSP5	grey	grey
DUSP6	grey	grey
DUSP7	turquoise	pink
DUSP8	brown	brown
DUSP9	grey	grey
DUT	blue	blue
DVL1	brown	brown
DVL2	turquoise	pink
DVL3	pink	pink
DXO	brown	brown
DYDC2	black	black
DYM	turquoise	pink
DYNC1H1	turquoise	pink
DYNC1I1	grey	grey
DYNC1LI1	turquoise	pink
DYNC1LI2	turquoise	pink
DYNC2H1	black	black
DYNC2LI1	black	black
DYNLL2	turquoise	pink
DYNLRB1	grey	grey
DYNLRB2	black	black
DYNLT1	grey	grey
DYNLT3	turquoise	pink
DYRK1A	turquoise	pink
DYRK1B	brown	brown
DYRK2	grey	grey
DYRK3	grey	grey
DYRK4	grey	grey
DYSF	red	red
DZANK1	black	black
DZIP1	green	green
DZIP1L	black	black
DZIP3	black	black
E2F1	blue	blue
E2F2	blue	blue
E2F3	turquoise	pink
E2F4	turquoise	pink
E2F5	grey	grey
E2F6	blue	blue
E2F7	blue	blue
E2F8	blue	blue
E4F1	brown	brown
EAF1	turquoise	pink
EAF2	grey	grey
EAPP	grey	grey
EARS2	turquoise	pink
EBAG9	grey	grey
EBF1	red	red
EBF2	grey	grey
EBF3	grey	grey
EBF4	grey	grey
EBI3	magenta	magenta
EBLN2	brown	brown
EBNA1BP2	blue	blue
EBP	grey	grey
ECD	turquoise	pink
ECE1	turquoise	pink
ECEL1	grey	grey
ECH1	grey	grey
ECHDC1	grey	grey
ECHDC2	brown	brown
ECHDC3	grey	grey
ECHS1	grey	grey
ECI1	brown	brown
ECM1	grey	grey
ECM2	green	green
ECSIT	blue	blue
ECT2	blue	blue
EDA	grey	grey
EDA2R	blue	blue
EDAR	grey	grey
EDARADD	grey	grey
EDC3	turquoise	pink
EDDM3A	grey	grey
EDEM1	turquoise	pink
EDEM2	grey	grey
EDEM3	turquoise	pink
EDF1	turquoise	pink
EDIL3	green	green
EDN1	grey	grey
EDN2	grey	grey
EDN3	grey	grey
EDNRA	green	green
EDNRB	red	red
EDRF1	brown	brown
EEA1	turquoise	pink
EED	blue	blue
EEF1A1	grey	grey
EEF1A2	grey	grey
EEF2	turquoise	pink
EEF2K	turquoise	pink
EEFSEC	pink	pink
EEPD1	grey	grey
EFCAB1	black	black
EFCAB10	black	black
EFCAB12	black	black
EFCAB13	brown	brown
EFCAB14	turquoise	pink
EFCAB2	grey	grey
EFCAB5	grey	grey
EFCAB6	black	black
EFCAB7	brown	brown
EFCC1	red	red
EFEMP1	grey	grey
EFEMP2	green	green
EFHB	black	black
EFHC1	black	black
EFHC2	black	black
EFHD1	grey	grey
EFHD2	grey	grey
EFNA1	grey	grey
EFNA2	grey	grey
EFNA3	grey	grey
EFNA4	turquoise	pink
EFNA5	grey	grey
EFNB1	grey	grey
EFNB2	grey	grey
EFNB3	grey	grey
EFR3A	turquoise	pink
EFR3B	grey	grey
EFTUD2	turquoise	pink
EGF	grey	grey
EGFL6	red	red
EGFL7	grey	grey
EGFLAM	green	green
EGFR	turquoise	pink
EGLN1	turquoise	pink
EGLN3	grey	grey
EGR1	red	red
EGR2	yellow	magenta
EGR3	grey	grey
EGR4	grey	grey
EHBP1L1	turquoise	pink
EHD1	grey	grey
EHD2	grey	grey
EHD3	green	green
EHD4	grey	grey
EHF	grey	grey
EHHADH	pink	pink
EHMT1	turquoise	pink
EHMT2	turquoise	pink
EI24	turquoise	pink
EID1	turquoise	pink
EID2	grey	grey
EID2B	grey	grey
EID3	grey	grey
EIF1	grey	grey
EIF1AD	turquoise	pink
EIF1AX	grey	grey
EIF1AY	grey	grey
EIF1B	grey	grey
EIF2A	pink	pink
EIF2AK1	grey	grey
EIF2AK2	turquoise	pink
EIF2AK3	turquoise	pink
EIF2AK4	turquoise	pink
EIF2B1	blue	blue
EIF2B2	grey	grey
EIF2B3	blue	blue
EIF2B4	turquoise	pink
EIF2B5	pink	pink
EIF2D	turquoise	pink
EIF2S1	blue	blue
EIF2S2	turquoise	pink
EIF2S3	turquoise	pink
EIF3A	turquoise	pink
EIF3B	blue	blue
EIF3C	turquoise	pink
EIF3D	grey	grey
EIF3F	grey	grey
EIF3H	grey	grey
EIF3J	blue	blue
EIF3K	grey	grey
EIF3M	blue	blue
EIF4A1	brown	brown
EIF4A2	pink	pink
EIF4A3	blue	blue
EIF4B	turquoise	pink
EIF4E	blue	blue
EIF4E2	blue	blue
EIF4E3	grey	grey
EIF4EBP1	blue	blue
EIF4EBP2	turquoise	pink
EIF4ENIF1	turquoise	pink
EIF4G1	pink	pink
EIF4G2	pink	pink
EIF4G3	turquoise	pink
EIF4H	turquoise	pink
EIF5	pink	pink
EIF5A2	grey	grey
EIF5B	turquoise	pink
ELAC1	grey	grey
ELAC2	turquoise	pink
ELANE	grey	grey
ELAVL1	turquoise	pink
ELAVL2	grey	grey
ELAVL3	grey	grey
ELAVL4	grey	grey
ELF1	turquoise	pink
ELF2	turquoise	pink
ELF3	grey	grey
ELF4	grey	grey
ELF5	grey	grey
ELFN1	green	green
ELFN2	grey	grey
ELK1	blue	blue
ELK3	green	green
ELK4	turquoise	pink
ELL	turquoise	pink
ELL2	turquoise	pink
ELMO1	red	red
ELMO2	turquoise	pink
ELMO3	brown	brown
ELMOD1	grey	grey
ELMOD2	turquoise	pink
ELMOD3	brown	brown
ELMSAN1	turquoise	pink
ELN	green	green
ELOF1	grey	grey
ELOVL1	grey	grey
ELOVL2	grey	grey
ELOVL3	grey	grey
ELOVL4	blue	blue
ELOVL5	pink	pink
ELOVL6	blue	blue
ELOVL7	blue	blue
ELP2	turquoise	pink
ELP3	turquoise	pink
ELP4	blue	blue
ELP5	turquoise	pink
ELP6	grey	grey
EMC1	turquoise	pink
EMC10	grey	grey
EMC2	grey	grey
EMC3	grey	grey
EMC4	blue	blue
EMC7	blue	blue
EMC8	blue	blue
EMC9	blue	blue
EMCN	red	red
EMD	grey	grey
EME1	blue	blue
EME2	brown	brown
EMG1	blue	blue
EMID1	grey	grey
EMILIN1	green	green
EMILIN2	yellow	magenta
EML1	green	green
EML2	grey	grey
EML3	brown	brown
EML4	turquoise	pink
EML5	turquoise	pink
EML6	grey	grey
EMP1	green	green
EMP2	red	red
EMP3	yellow	magenta
EMX1	grey	grey
EN1	grey	grey
EN2	grey	grey
ENAH	turquoise	pink
ENAM	grey	grey
ENC1	grey	grey
ENDOD1	turquoise	pink
ENDOU	grey	grey
ENDOV	grey	grey
ENG	red	red
ENGASE	brown	brown
ENHO	grey	grey
ENKD1	brown	brown
ENKUR	black	black
ENO1	blue	blue
ENO2	grey	grey
ENO3	grey	grey
ENOPH1	blue	blue
ENOSF1	brown	brown
ENOX1	green	green
ENOX2	pink	pink
ENPEP	green	green
ENPP1	grey	grey
ENPP2	red	red
ENPP3	grey	grey
ENPP4	turquoise	pink
ENPP5	grey	grey
ENPP6	grey	grey
ENPP7	grey	grey
ENSA	turquoise	pink
ENTHD1	grey	grey
ENTPD1	yellow	magenta
ENTPD2	grey	grey
ENTPD3	blue	blue
ENTPD4	turquoise	pink
ENTPD5	turquoise	pink
ENTPD6	turquoise	pink
ENTPD7	turquoise	pink
ENY2	blue	blue
EOGT	red	red
EOMES	magenta	magenta
EP300	turquoise	pink
EP400	turquoise	pink
EPAS1	red	red
EPB41	turquoise	pink
EPB41L1	turquoise	pink
EPB41L2	yellow	magenta
EPB41L3	yellow	magenta
EPB41L4A	turquoise	pink
EPB41L4B	turquoise	pink
EPB41L5	turquoise	pink
EPC1	turquoise	pink
EPC2	turquoise	pink
EPDR1	grey	grey
EPG5	turquoise	pink
EPHA1	grey	grey
EPHA10	grey	grey
EPHA2	turquoise	pink
EPHA3	grey	grey
EPHA4	turquoise	pink
EPHA5	grey	grey
EPHA6	grey	grey
EPHA7	grey	grey
EPHA8	grey	grey
EPHB1	grey	grey
EPHB2	grey	grey
EPHB3	grey	grey
EPHB4	turquoise	pink
EPHB6	grey	grey
EPHX1	grey	grey
EPHX2	blue	blue
EPHX3	grey	grey
EPHX4	grey	grey
EPM2A	turquoise	pink
EPM2AIP1	turquoise	pink
EPN1	turquoise	pink
EPN2	turquoise	pink
EPN3	grey	grey
EPO	grey	grey
EPOR	brown	brown
EPPIN	black	black
EPPK1	turquoise	pink
EPS15	turquoise	pink
EPS15L1	turquoise	pink
EPS8	turquoise	pink
EPS8L1	brown	brown
EPS8L2	brown	brown
EPS8L3	grey	grey
EPSTI1	magenta	magenta
EPX	black	black
EPYC	green	green
EQTN	grey	grey
ERAL1	turquoise	pink
ERAP1	turquoise	pink
ERAP2	grey	grey
ERBB2	turquoise	pink
ERBB3	turquoise	pink
ERBB4	black	black
ERC1	turquoise	pink
ERC2	grey	grey
ERCC1	grey	grey
ERCC2	turquoise	pink
ERCC3	turquoise	pink
ERCC4	turquoise	pink
ERCC5	turquoise	pink
ERCC6	turquoise	pink
ERCC6L	blue	blue
ERCC6L2	turquoise	pink
ERCC8	turquoise	pink
EREG	grey	grey
ERF	turquoise	pink
ERG	red	red
ERGIC1	turquoise	pink
ERGIC2	blue	blue
ERGIC3	grey	grey
ERI1	blue	blue
ERI2	turquoise	pink
ERI3	blue	blue
ERICH1	brown	brown
ERICH3	black	black
ERICH4	grey	grey
ERICH5	grey	grey
ERICH6	grey	grey
ERLEC1	blue	blue
ERLIN1	blue	blue
ERLIN2	grey	grey
